DATE,BAMLH0A1HYBBEY
2016-02-08,6.80
2016-02-09,6.90
2016-02-10,6.83
2016-02-11,7.07
2016-02-12,6.93
2016-02-15,6.91
2016-02-16,6.78
2016-02-17,6.59
2016-02-18,6.48
2016-02-19,6.54
2016-02-22,6.41
2016-02-23,6.38
2016-02-24,6.43
2016-02-25,6.32
2016-02-26,6.17
2016-02-29,6.12
2016-03-01,5.94
2016-03-02,5.83
2016-03-03,5.82
2016-03-04,5.71
2016-03-07,5.68
2016-03-08,5.75
2016-03-09,5.82
2016-03-10,5.77
2016-03-11,5.61
2016-03-14,5.56
2016-03-15,5.62
2016-03-16,5.66
2016-03-17,5.51
2016-03-18,5.40
2016-03-21,5.40
2016-03-22,5.47
2016-03-23,5.51
2016-03-24,5.64
2016-03-25,.
2016-03-28,5.67
2016-03-29,5.73
2016-03-30,5.63
2016-03-31,5.66
2016-04-01,5.68
2016-04-04,5.64
2016-04-05,5.70
2016-04-06,5.64
2016-04-07,5.66
2016-04-08,5.61
2016-04-11,5.57
2016-04-12,5.51
2016-04-13,5.41
2016-04-14,5.36
2016-04-15,5.36
2016-04-18,5.36
2016-04-19,5.25
2016-04-20,5.18
2016-04-21,5.20
2016-04-22,5.20
2016-04-25,5.24
2016-04-26,5.21
2016-04-27,5.17
2016-04-28,5.10
2016-04-29,5.14
2016-04-30,5.23
2016-05-02,5.22
2016-05-03,5.30
2016-05-04,5.35
2016-05-05,5.37
2016-05-06,5.43
2016-05-09,5.44
2016-05-10,5.38
2016-05-11,5.33
2016-05-12,5.32
2016-05-13,5.34
2016-05-16,5.29
2016-05-17,5.27
2016-05-18,5.30
2016-05-19,5.40
2016-05-20,5.33
2016-05-23,5.32
2016-05-24,5.27
2016-05-25,5.21
2016-05-26,5.21
2016-05-27,5.21
2016-05-30,5.21
2016-05-31,5.20
2016-06-01,5.25
2016-06-02,5.23
2016-06-03,5.20
2016-06-06,5.12
2016-06-07,5.05
2016-06-08,4.99
2016-06-09,5.01
2016-06-10,5.09
2016-06-13,5.13
2016-06-14,5.26
2016-06-15,5.2
2016-06-16,5.29
2016-06-17,5.22
2016-06-20,5.09
2016-06-21,5.12
2016-06-22,5.08
2016-06-23,5.02
2016-06-24,5.29
2016-06-27,5.4
2016-06-28,5.32
2016-06-29,5.15
2016-06-30,5.15
2016-07-01,5.06
2016-07-04,5.06
2016-07-05,5.03
2016-07-06,5.02
2016-07-07,4.92
2016-07-08,4.79
2016-07-11,4.68
2016-07-12,4.58
2016-07-13,4.66
2016-07-14,4.58
2016-07-15,4.61
2016-07-18,4.61
2016-07-19,4.6
2016-07-20,4.57
2016-07-21,4.56
2016-07-22,4.57
2016-07-25,4.57
2016-07-26,4.62
2016-07-27,4.62
2016-07-28,4.65
2016-07-29,4.68
2016-07-31,4.76
2016-08-01,4.79
2016-08-02,4.84
2016-08-03,4.83
2016-08-04,4.74
2016-08-05,4.67
2016-08-08,4.65
2016-08-09,4.59
2016-08-10,4.58
2016-08-11,4.58
2016-08-12,4.56
2016-08-15,4.5
2016-08-16,4.48
2016-08-17,4.49
2016-08-18,4.47
2016-08-19,4.48
2016-08-22,4.48
2016-08-23,4.46
2016-08-24,4.45
2016-08-25,4.48
2016-08-26,4.46
2016-08-29,4.45
2016-08-30,4.44
2016-08-31,4.51
2016-09-01,4.53
2016-09-02,4.52
2016-09-05,4.52
2016-09-06,4.48
2016-09-07,4.45
2016-09-08,4.46
2016-09-09,4.59
2016-09-12,4.66
2016-09-13,4.72
2016-09-14,4.7
2016-09-15,4.7
2016-09-16,4.72
2016-09-19,4.7
2016-09-20,4.7
2016-09-21,4.66
2016-09-22,4.54
2016-09-23,4.54
2016-09-26,4.56
2016-09-27,4.56
2016-09-28,4.55
2016-09-29,4.51
2016-09-30,4.53
2016-10-03,4.52
2016-10-04,4.5
2016-10-05,4.48
2016-10-06,4.48
2016-10-07,4.48
2016-10-10,4.48
2016-10-11,4.5
2016-10-12,4.51
2016-10-13,4.53
2016-10-14,4.48
2016-10-17,4.49
2016-10-18,4.44
2016-10-19,4.4
2016-10-20,4.38
2016-10-21,4.37
2016-10-24,4.38
2016-10-25,4.38
2016-10-26,4.43
2016-10-27,4.47
2016-10-28,4.52
2016-10-31,4.65
2016-11-01,4.75
2016-11-02,4.81
2016-11-03,4.8
2016-11-04,4.82
2016-11-07,4.69
2016-11-08,4.68
2016-11-09,4.81
2016-11-10,4.91
2016-11-11,4.91
2016-11-14,5.14
2016-11-15,5.04
2016-11-16,5.03
2016-11-17,4.99
2016-11-18,5.04
2016-11-21,5
2016-11-22,4.92
2016-11-23,4.92
2016-11-24,4.92
2016-11-25,4.91
2016-11-28,4.89
2016-11-29,4.9
2016-11-30,4.93
2016-12-01,4.95
2016-12-02,4.92
2016-12-05,4.88
2016-12-06,4.84
2016-12-07,4.75
2016-12-08,4.72
2016-12-09,4.69
2016-12-12,4.67
2016-12-13,4.64
2016-12-14,4.65
2016-12-15,4.77
2016-12-16,4.79
2016-12-19,4.76
2016-12-20,4.76
2016-12-21,4.73
2016-12-22,4.72
2016-12-23,4.7
